no;id;name;host_id;host_name;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm
0;27934;Nice room with superb city view;120437;Nuttee;Ratchathewi;1.375.983;10.054.134;Entire home/apt;1905;3;65;06/01/2020;0.5;2;353;0
1;27979;Easy going landlord,easy place;120541;Emy;Bang Na;1.366.818;10.061.674;Private room;1316;1;0;;;2;358;0
2;28745;modern-style apartment in Bangkok;123784;Familyroom;Bang Kapi;1.375.232;10.062.402;Private room;800;60;0;;;1;365;0
3;35780;Spacious one bedroom at The Kris Condo Bldg. 3;153730;Sirilak;Din Daeng;1.378.823;10.057.256;Private room;1286;7;2;01/04/2022;0.03;1;323;1
4;941865;Suite Room 3 at MetroPoint;610315;Kasem;Bang Kapi;1.376.872;10.063.338;Private room;1905;1;0;;;3;365;0
5;1704776;NEw Pro!!  Bungalow Bkk Centre;2129668;Wimonpak;Bang Kho laen;1.369.757;1.005.288;Entire home/apt;1000;250;19;03/08/2017;0.17;41;365;0
6;48736;Condo with Chaopraya River View;222005;Athitaya;Rat Burana;1.368.556;10.049.535;Private room;1558;3;1;03/02/2014;0.01;1;365;0
7;1738669;1 chic bedroom apartment in BKK;7045870;Jiraporn;Chatu Chak;1.382.925;10.056.737;Entire home/apt;1461;1;0;;;1;365;0
8;1744248;Batcave, Pool view, near Chatuchak;9181769;Nol;Chatu Chak;1.381.693;10.056.433;Entire home/apt;1558;3;10;29/03/2016;0.09;1;365;0
9;952677;Standard Room Decor do Hostel;5171292;Somsak;Khlong San;137.204;10.050.757;Private room;700;2;4;27/12/2019;0.03;10;87;0
10;55681;Sathorn Terrace Apartment(61);263049;Tor;Bang Rak;1.371.934;1.005.176;Private room;1150;2;27;03/01/2019;0.19;7;320;0
11;1765918;2BR apt in a cozy neighborhood;9279712;Jing;Phaya Thai;1.377.486;10.054.272;Entire home/apt;1893;15;129;30/09/2022;1.17;1;356;1
12;55686;Comfy bedroom near River pier & BTS  Taksin.;263049;Tor;Sathon;1.371.802;10.051.539;Hotel room;1862;2;208;02/12/2019;1.44;7;361;0
13;59221;budget hotel bangkok near subway;284095;Mimi;Din Daeng;1.377.941;10.057.383;Entire home/apt;910;2;3;30/07/2018;0.02;2;365;0
14;959254;Deluxe Condo, Nana, Pool/GYM/Sauna;5153476;Natcha;Khlong Toei;1.371.516;10.056.806;Entire home/apt;1400;30;0;;;1;365;0
15;62217;Luxury@swimpool/FreeWiFi/nearJJMkt;302658;Srisuk;Phaya Thai;1.379.152;10.053.982;Private room;4156;1;0;;;1;365;0
16;1791481;Nice and Quiet condo near BTS Onnut;9399478;Piyakorn;Khlong Toei;1.370.719;10.059.936;Entire home/apt;1577;30;78;31/05/2019;0.78;1;330;0
17;66046;24Flr- 1br Apt near JJ, MRT, BTS;323158;Sue;Chatu Chak;1.382.298;10.056.484;Entire home/apt;122594;2;9;04/03/2020;0.09;6;180;0
18;105042;Central Bangkok 3 Bedroom Apartment;545890;Henry;Khlong Toei;1.373.378;10.056.303;Entire home/apt;5680;28;148;07/01/2020;1.08;1;334;0
19;1793000;The Duplex - Asoke- Luxury 92sqm;9407280;Timo;Vadhana;1.374.668;10.056.137;Entire home/apt;5034;21;287;22/11/2022;2.59;1;349;3
20;960858;New, Stylish & Luxury Studio Condo;3769704;Pat;Sai Mai;139.077;10.064.473;Private room;1500;1;0;;;1;365;0
21;113744;River View - Ivy Condo (1 Bedroom);578110;Muay;Rat Burana;1.368.568;10.049.231;Private room;1385;30;0;;;1;365;0
22;965722;Siamese Gioia on Sukhumvit 31;5265861;Chuchart;Vadhana;1.374.444;10.057.003;Private room;3775;30;3;24/12/2018;0.05;1;364;0
23;1808600;Contemporary Modern Duplex-Thong Lo;9478184;Shine;Khlong Toei;1.372.097;10.057.823;Entire home/apt;2078;60;83;12/09/2018;0.75;1;55;0
